session_id,attempt,arm,capacity,run_id,device,event_key,validator_rebuild,validator_semantic_identical,event_reports_semantic_identical,generated_events,action_mix,evidence_kind_mix,local_required,local_received,evidence_required,evidence_transfer_complete,core_required,core_inference_complete,core_result_received,core_result_on_time,core_result_on_time_correct,tp,tn,fp,fn,scored,unscored,states,payload_generated_bytes,application_payload_sent_bytes,unique_payload_received_bytes,duplicate_wire_bytes,protocol_framing_bytes,frozen_contract_valid,segment_reconstruction_valid
F12_S03,a02,A,high,F12_S03_A_high_a02,,,PASS,true,true,270,"{""H_NONE"":270}","{""none"":270}",270,270,0,0,0,0,0,0,0,216,54,0,0,270,0,"{""terminal_success_timely"":270}",0,0,0,0,96703,true,true
F12_S03,a02,F,high,F12_S03_F_high_a02,,,PASS,true,true,270,"{""H_FULL"":270}","{""full"":270}",0,0,270,270,270,270,270,262,262,216,54,0,0,270,0,"{""terminal_success_late"":8,""terminal_success_timely"":262}",35389440,35389440,35389440,0,609134,true,true
F12_S03,a02,C,low,F12_S03_C_low_a02,,,PASS,true,true,270,"{""H_FULL"":270}","{""full"":270}",0,0,270,270,270,270,270,0,0,216,54,0,0,270,0,"{""terminal_success_late"":270}",35389440,35389440,35389440,0,822331,true,true
F12_S03,a02,D,low,F12_S03_D_low_a02,,,PASS,true,true,270,"{""H_FULL"":66,""H_NONE"":138,""M_SUMMARY"":66}","{""full"":66,""none"":138,""summary"":66}",204,204,132,132,66,66,66,0,0,216,54,0,0,270,0,"{""terminal_success_late"":66,""terminal_success_timely"":204}",9191424,9191424,9191424,0,399119,true,true
F12_S03,a02,B,low,F12_S03_B_low_a02,,,PASS,true,true,270,"{""H_SUMMARY"":270}","{""summary"":270}",270,270,270,270,0,0,0,0,0,216,54,0,0,270,0,"{""terminal_success_timely"":270}",4423680,4423680,4423680,0,607826,true,true
F12_S03,a02,E,low,F12_S03_E_low_a02,,,PASS,true,true,270,"{""H_SUMMARY"":270}","{""summary"":270}",270,270,270,270,0,0,0,0,0,216,54,0,0,270,0,"{""terminal_success_late"":2,""terminal_success_timely"":268}",4423680,4423680,4423680,0,607826,true,true
F12_S03,a02,A,low,F12_S03_A_low_a02,,,PASS,true,true,270,"{""H_NONE"":270}","{""none"":270}",270,270,0,0,0,0,0,0,0,216,54,0,0,270,0,"{""terminal_success_late"":3,""terminal_success_timely"":267}",0,0,0,0,96433,true,true
F12_S03,a02,F,low,F12_S03_F_low_a02,,,PASS,true,true,270,"{""H_SUMMARY"":270}","{""summary"":270}",270,270,270,270,0,0,0,0,0,216,54,0,0,270,0,"{""terminal_success_timely"":270}",4423680,4423680,4423680,0,607826,true,true
F12_S03,a02,C,mid,F12_S03_C_mid_a02,,,PASS,true,true,270,"{""H_FULL"":270}","{""full"":270}",0,0,270,270,270,270,270,0,0,216,54,0,0,270,0,"{""terminal_success_late"":270}",35389440,35389440,35389440,0,555074,true,true
F12_S03,a02,D,mid,F12_S03_D_mid_a02,,,PASS,true,true,270,"{""H_FULL"":135,""H_NONE"":135}","{""full"":135,""none"":135}",135,135,135,135,135,135,135,0,0,216,54,0,0,270,0,"{""terminal_success_late"":135,""terminal_success_timely"":135}",17694720,17694720,17694720,0,394599,true,true
