status,seed,capacity,method,v,phase_ticks,phase_seconds,action_counts,core_required_fraction,payload_bytes,max_queue_bytes,post_release_on_time_core_result_coverage,core_required_events,on_time_core_results,drain_ticks_used,final_queue_bytes,shared_cap_violations
PASS,2026090902,low,desynchronized_independent,1.0,"{""P1"":403,""P2"":632,""P3"":306}","{""P1"":0.403,""P2"":0.632,""P3"":0.306}","{""H_ALERT"":0,""H_FULL"":90,""H_NONE"":180,""H_SUMMARY"":0,""L_ALERT"":0,""L_NONE"":0,""L_SUMMARY"":0,""M_ALERT"":0,""M_NONE"":0,""M_SUMMARY"":0}",0.3333333333333333,11796480,131029,0.0,90,0,1369,0,0
PASS,2026090902,low,synchronized_independent,1.0,"{""P1"":0,""P2"":0,""P3"":0}","{""P1"":0.0,""P2"":0.0,""P3"":0.0}","{""H_ALERT"":0,""H_FULL"":66,""H_NONE"":138,""H_SUMMARY"":0,""L_ALERT"":0,""L_NONE"":0,""L_SUMMARY"":0,""M_ALERT"":0,""M_NONE"":0,""M_SUMMARY"":66}",0.24444444444444444,9191424,131029,0.0,66,0,1000,0,0
PASS,2026090902,low,central_coordinated,1.0,"{""P1"":0,""P2"":0,""P3"":0}","{""P1"":0.0,""P2"":0.0,""P3"":0.0}","{""H_ALERT"":0,""H_FULL"":0,""H_NONE"":0,""H_SUMMARY"":270,""L_ALERT"":0,""L_NONE"":0,""L_SUMMARY"":0,""M_ALERT"":0,""M_NONE"":0,""M_SUMMARY"":0}",0.0,4423680,16341,,0,0,374,0,0
PASS,2026090902,low,shielded_coordinated,1.0,"{""P1"":0,""P2"":0,""P3"":0}","{""P1"":0.0,""P2"":0.0,""P3"":0.0}","{""H_ALERT"":0,""H_FULL"":0,""H_NONE"":0,""H_SUMMARY"":270,""L_ALERT"":0,""L_NONE"":0,""L_SUMMARY"":0,""M_ALERT"":0,""M_NONE"":0,""M_SUMMARY"":0}",0.0,4423680,16341,,0,0,374,0,0
PASS,2026090902,mid,desynchronized_independent,1.0,"{""P1"":403,""P2"":632,""P3"":306}","{""P1"":0.403,""P2"":0.632,""P3"":0.306}","{""H_ALERT"":0,""H_FULL"":180,""H_NONE"":90,""H_SUMMARY"":0,""L_ALERT"":0,""L_NONE"":0,""L_SUMMARY"":0,""M_ALERT"":0,""M_NONE"":0,""M_SUMMARY"":0}",0.6666666666666666,23592960,130985,0.5,180,90,868,0,0
PASS,2026090902,mid,synchronized_independent,1.0,"{""P1"":0,""P2"":0,""P3"":0}","{""P1"":0.0,""P2"":0.0,""P3"":0.0}","{""H_ALERT"":0,""H_FULL"":135,""H_NONE"":135,""H_SUMMARY"":0,""L_ALERT"":0,""L_NONE"":0,""L_SUMMARY"":0,""M_ALERT"":0,""M_NONE"":0,""M_SUMMARY"":0}",0.5,17694720,130985,0.0,135,0,1500,0,0
PASS,2026090902,mid,central_coordinated,1.0,"{""P1"":0,""P2"":0,""P3"":0}","{""P1"":0.0,""P2"":0.0,""P3"":0.0}","{""H_ALERT"":0,""H_FULL"":90,""H_NONE"":0,""H_SUMMARY"":180,""L_ALERT"":0,""L_NONE"":0,""L_SUMMARY"":0,""M_ALERT"":0,""M_NONE"":0,""M_SUMMARY"":0}",0.3333333333333333,14745600,130985,1.0,90,90,624,0,0
PASS,2026090902,mid,shielded_coordinated,1.0,"{""P1"":0,""P2"":0,""P3"":0}","{""P1"":0.0,""P2"":0.0,""P3"":0.0}","{""H_ALERT"":0,""H_FULL"":90,""H_NONE"":0,""H_SUMMARY"":180,""L_ALERT"":0,""L_NONE"":0,""L_SUMMARY"":0,""M_ALERT"":0,""M_NONE"":0,""M_SUMMARY"":0}",0.3333333333333333,14745600,130985,1.0,90,90,624,0,0
PASS,2026090902,high,desynchronized_independent,1.0,"{""P1"":403,""P2"":632,""P3"":306}","{""P1"":0.403,""P2"":0.632,""P3"":0.306}","{""H_ALERT"":0,""H_FULL"":270,""H_NONE"":0,""H_SUMMARY"":0,""L_ALERT"":0,""L_NONE"":0,""L_SUMMARY"":0,""M_ALERT"":0,""M_NONE"":0,""M_SUMMARY"":0}",1.0,35389440,130876,1.0,270,270,367,0,0
PASS,2026090902,high,synchronized_independent,1.0,"{""P1"":0,""P2"":0,""P3"":0}","{""P1"":0.0,""P2"":0.0,""P3"":0.0}","{""H_ALERT"":0,""H_FULL"":270,""H_NONE"":0,""H_SUMMARY"":0,""L_ALERT"":0,""L_NONE"":0,""L_SUMMARY"":0,""M_ALERT"":0,""M_NONE"":0,""M_SUMMARY"":0}",1.0,35389440,130941,1.0,270,270,999,0,0
PASS,2026090902,high,central_coordinated,1.0,"{""P1"":0,""P2"":0,""P3"":0}","{""P1"":0.0,""P2"":0.0,""P3"":0.0}","{""H_ALERT"":0,""H_FULL"":270,""H_NONE"":0,""H_SUMMARY"":0,""L_ALERT"":0,""L_NONE"":0,""L_SUMMARY"":0,""M_ALERT"":0,""M_NONE"":0,""M_SUMMARY"":0}",1.0,35389440,130941,1.0,270,270,999,0,0
PASS,2026090902,high,shielded_coordinated,1.0,"{""P1"":0,""P2"":0,""P3"":0}","{""P1"":0.0,""P2"":0.0,""P3"":0.0}","{""H_ALERT"":0,""H_FULL"":270,""H_NONE"":0,""H_SUMMARY"":0,""L_ALERT"":0,""L_NONE"":0,""L_SUMMARY"":0,""M_ALERT"":0,""M_NONE"":0,""M_SUMMARY"":0}",1.0,35389440,130941,1.0,270,270,999,0,0
PASS,2026090903,low,desynchronized_independent,1.0,"{""P1"":489,""P2"":690,""P3"":996}","{""P1"":0.489,""P2"":0.69,""P3"":0.996}","{""H_ALERT"":0,""H_FULL"":90,""H_NONE"":180,""H_SUMMARY"":0,""L_ALERT"":0,""L_NONE"":0,""L_SUMMARY"":0,""M_ALERT"":0,""M_NONE"":0,""M_SUMMARY"":0}",0.3333333333333333,11796480,131029,0.0,90,0,2004,0,0
PASS,2026090903,low,synchronized_independent,1.0,"{""P1"":0,""P2"":0,""P3"":0}","{""P1"":0.0,""P2"":0.0,""P3"":0.0}","{""H_ALERT"":0,""H_FULL"":66,""H_NONE"":138,""H_SUMMARY"":0,""L_ALERT"":0,""L_NONE"":0,""L_SUMMARY"":0,""M_ALERT"":0,""M_NONE"":0,""M_SUMMARY"":66}",0.24444444444444444,9191424,131029,0.0,66,0,1000,0,0
PASS,2026090903,low,central_coordinated,1.0,"{""P1"":0,""P2"":0,""P3"":0}","{""P1"":0.0,""P2"":0.0,""P3"":0.0}","{""H_ALERT"":0,""H_FULL"":0,""H_NONE"":0,""H_SUMMARY"":270,""L_ALERT"":0,""L_NONE"":0,""L_SUMMARY"":0,""M_ALERT"":0,""M_NONE"":0,""M_SUMMARY"":0}",0.0,4423680,16341,,0,0,374,0,0
PASS,2026090903,low,shielded_coordinated,1.0,"{""P1"":0,""P2"":0,""P3"":0}","{""P1"":0.0,""P2"":0.0,""P3"":0.0}","{""H_ALERT"":0,""H_FULL"":0,""H_NONE"":0,""H_SUMMARY"":270,""L_ALERT"":0,""L_NONE"":0,""L_SUMMARY"":0,""M_ALERT"":0,""M_NONE"":0,""M_SUMMARY"":0}",0.0,4423680,16341,,0,0,374,0,0
PASS,2026090903,mid,desynchronized_independent,1.0,"{""P1"":489,""P2"":690,""P3"":996}","{""P1"":0.489,""P2"":0.69,""P3"":0.996}","{""H_ALERT"":0,""H_FULL"":180,""H_NONE"":90,""H_SUMMARY"":0,""L_ALERT"":0,""L_NONE"":0,""L_SUMMARY"":0,""M_ALERT"":0,""M_NONE"":0,""M_SUMMARY"":0}",0.6666666666666666,23592960,130985,0.5,180,90,1004,0,0
PASS,2026090903,mid,synchronized_independent,1.0,"{""P1"":0,""P2"":0,""P3"":0}","{""P1"":0.0,""P2"":0.0,""P3"":0.0}","{""H_ALERT"":0,""H_FULL"":135,""H_NONE"":135,""H_SUMMARY"":0,""L_ALERT"":0,""L_NONE"":0,""L_SUMMARY"":0,""M_ALERT"":0,""M_NONE"":0,""M_SUMMARY"":0}",0.5,17694720,130985,0.0,135,0,1500,0,0
PASS,2026090903,mid,central_coordinated,1.0,"{""P1"":0,""P2"":0,""P3"":0}","{""P1"":0.0,""P2"":0.0,""P3"":0.0}","{""H_ALERT"":0,""H_FULL"":90,""H_NONE"":0,""H_SUMMARY"":180,""L_ALERT"":0,""L_NONE"":0,""L_SUMMARY"":0,""M_ALERT"":0,""M_NONE"":0,""M_SUMMARY"":0}",0.3333333333333333,14745600,130985,1.0,90,90,624,0,0
PASS,2026090903,mid,shielded_coordinated,1.0,"{""P1"":0,""P2"":0,""P3"":0}","{""P1"":0.0,""P2"":0.0,""P3"":0.0}","{""H_ALERT"":0,""H_FULL"":90,""H_NONE"":0,""H_SUMMARY"":180,""L_ALERT"":0,""L_NONE"":0,""L_SUMMARY"":0,""M_ALERT"":0,""M_NONE"":0,""M_SUMMARY"":0}",0.3333333333333333,14745600,130985,1.0,90,90,624,0,0
PASS,2026090903,high,desynchronized_independent,1.0,"{""P1"":489,""P2"":690,""P3"":996}","{""P1"":0.489,""P2"":0.69,""P3"":0.996}","{""H_ALERT"":0,""H_FULL"":270,""H_NONE"":0,""H_SUMMARY"":0,""L_ALERT"":0,""L_NONE"":0,""L_SUMMARY"":0,""M_ALERT"":0,""M_NONE"":0,""M_SUMMARY"":0}",1.0,35389440,1180,1.0,270,270,3,0,0
PASS,2026090903,high,synchronized_independent,1.0,"{""P1"":0,""P2"":0,""P3"":0}","{""P1"":0.0,""P2"":0.0,""P3"":0.0}","{""H_ALERT"":0,""H_FULL"":270,""H_NONE"":0,""H_SUMMARY"":0,""L_ALERT"":0,""L_NONE"":0,""L_SUMMARY"":0,""M_ALERT"":0,""M_NONE"":0,""M_SUMMARY"":0}",1.0,35389440,130941,1.0,270,270,999,0,0
PASS,2026090903,high,central_coordinated,1.0,"{""P1"":0,""P2"":0,""P3"":0}","{""P1"":0.0,""P2"":0.0,""P3"":0.0}","{""H_ALERT"":0,""H_FULL"":270,""H_NONE"":0,""H_SUMMARY"":0,""L_ALERT"":0,""L_NONE"":0,""L_SUMMARY"":0,""M_ALERT"":0,""M_NONE"":0,""M_SUMMARY"":0}",1.0,35389440,130941,1.0,270,270,999,0,0
PASS,2026090903,high,shielded_coordinated,1.0,"{""P1"":0,""P2"":0,""P3"":0}","{""P1"":0.0,""P2"":0.0,""P3"":0.0}","{""H_ALERT"":0,""H_FULL"":270,""H_NONE"":0,""H_SUMMARY"":0,""L_ALERT"":0,""L_NONE"":0,""L_SUMMARY"":0,""M_ALERT"":0,""M_NONE"":0,""M_SUMMARY"":0}",1.0,35389440,130941,1.0,270,270,999,0,0
PASS,2026090904,low,desynchronized_independent,1.0,"{""P1"":945,""P2"":680,""P3"":799}","{""P1"":0.945,""P2"":0.68,""P3"":0.799}","{""H_ALERT"":0,""H_FULL"":90,""H_NONE"":180,""H_SUMMARY"":0,""L_ALERT"":0,""L_NONE"":0,""L_SUMMARY"":0,""M_ALERT"":0,""M_NONE"":0,""M_SUMMARY"":0}",0.3333333333333333,11796480,131028,0.0,90,0,2055,0,0
PASS,2026090904,low,synchronized_independent,1.0,"{""P1"":0,""P2"":0,""P3"":0}","{""P1"":0.0,""P2"":0.0,""P3"":0.0}","{""H_ALERT"":0,""H_FULL"":66,""H_NONE"":138,""H_SUMMARY"":0,""L_ALERT"":0,""L_NONE"":0,""L_SUMMARY"":0,""M_ALERT"":0,""M_NONE"":0,""M_SUMMARY"":66}",0.24444444444444444,9191424,131029,0.0,66,0,1000,0,0
PASS,2026090904,low,central_coordinated,1.0,"{""P1"":0,""P2"":0,""P3"":0}","{""P1"":0.0,""P2"":0.0,""P3"":0.0}","{""H_ALERT"":0,""H_FULL"":0,""H_NONE"":0,""H_SUMMARY"":270,""L_ALERT"":0,""L_NONE"":0,""L_SUMMARY"":0,""M_ALERT"":0,""M_NONE"":0,""M_SUMMARY"":0}",0.0,4423680,16341,,0,0,374,0,0
PASS,2026090904,low,shielded_coordinated,1.0,"{""P1"":0,""P2"":0,""P3"":0}","{""P1"":0.0,""P2"":0.0,""P3"":0.0}","{""H_ALERT"":0,""H_FULL"":0,""H_NONE"":0,""H_SUMMARY"":270,""L_ALERT"":0,""L_NONE"":0,""L_SUMMARY"":0,""M_ALERT"":0,""M_NONE"":0,""M_SUMMARY"":0}",0.0,4423680,16341,,0,0,374,0,0
PASS,2026090904,mid,desynchronized_independent,1.0,"{""P1"":945,""P2"":680,""P3"":799}","{""P1"":0.945,""P2"":0.68,""P3"":0.799}","{""H_ALERT"":0,""H_FULL"":180,""H_NONE"":90,""H_SUMMARY"":0,""L_ALERT"":0,""L_NONE"":0,""L_SUMMARY"":0,""M_ALERT"":0,""M_NONE"":0,""M_SUMMARY"":0}",0.6666666666666666,23592960,130985,0.5,180,90,555,0,0
PASS,2026090904,mid,synchronized_independent,1.0,"{""P1"":0,""P2"":0,""P3"":0}","{""P1"":0.0,""P2"":0.0,""P3"":0.0}","{""H_ALERT"":0,""H_FULL"":135,""H_NONE"":135,""H_SUMMARY"":0,""L_ALERT"":0,""L_NONE"":0,""L_SUMMARY"":0,""M_ALERT"":0,""M_NONE"":0,""M_SUMMARY"":0}",0.5,17694720,130985,0.0,135,0,1500,0,0
PASS,2026090904,mid,central_coordinated,1.0,"{""P1"":0,""P2"":0,""P3"":0}","{""P1"":0.0,""P2"":0.0,""P3"":0.0}","{""H_ALERT"":0,""H_FULL"":90,""H_NONE"":0,""H_SUMMARY"":180,""L_ALERT"":0,""L_NONE"":0,""L_SUMMARY"":0,""M_ALERT"":0,""M_NONE"":0,""M_SUMMARY"":0}",0.3333333333333333,14745600,130985,1.0,90,90,624,0,0
PASS,2026090904,mid,shielded_coordinated,1.0,"{""P1"":0,""P2"":0,""P3"":0}","{""P1"":0.0,""P2"":0.0,""P3"":0.0}","{""H_ALERT"":0,""H_FULL"":90,""H_NONE"":0,""H_SUMMARY"":180,""L_ALERT"":0,""L_NONE"":0,""L_SUMMARY"":0,""M_ALERT"":0,""M_NONE"":0,""M_SUMMARY"":0}",0.3333333333333333,14745600,130985,1.0,90,90,624,0,0
PASS,2026090904,high,desynchronized_independent,1.0,"{""P1"":945,""P2"":680,""P3"":799}","{""P1"":0.945,""P2"":0.68,""P3"":0.799}","{""H_ALERT"":0,""H_FULL"":270,""H_NONE"":0,""H_SUMMARY"":0,""L_ALERT"":0,""L_NONE"":0,""L_SUMMARY"":0,""M_ALERT"":0,""M_NONE"":0,""M_SUMMARY"":0}",1.0,35389440,21234,1.0,270,270,54,0,0
PASS,2026090904,high,synchronized_independent,1.0,"{""P1"":0,""P2"":0,""P3"":0}","{""P1"":0.0,""P2"":0.0,""P3"":0.0}","{""H_ALERT"":0,""H_FULL"":270,""H_NONE"":0,""H_SUMMARY"":0,""L_ALERT"":0,""L_NONE"":0,""L_SUMMARY"":0,""M_ALERT"":0,""M_NONE"":0,""M_SUMMARY"":0}",1.0,35389440,130941,1.0,270,270,999,0,0
PASS,2026090904,high,central_coordinated,1.0,"{""P1"":0,""P2"":0,""P3"":0}","{""P1"":0.0,""P2"":0.0,""P3"":0.0}","{""H_ALERT"":0,""H_FULL"":270,""H_NONE"":0,""H_SUMMARY"":0,""L_ALERT"":0,""L_NONE"":0,""L_SUMMARY"":0,""M_ALERT"":0,""M_NONE"":0,""M_SUMMARY"":0}",1.0,35389440,130941,1.0,270,270,999,0,0
PASS,2026090904,high,shielded_coordinated,1.0,"{""P1"":0,""P2"":0,""P3"":0}","{""P1"":0.0,""P2"":0.0,""P3"":0.0}","{""H_ALERT"":0,""H_FULL"":270,""H_NONE"":0,""H_SUMMARY"":0,""L_ALERT"":0,""L_NONE"":0,""L_SUMMARY"":0,""M_ALERT"":0,""M_NONE"":0,""M_SUMMARY"":0}",1.0,35389440,130941,1.0,270,270,999,0,0
PASS,2026090905,low,desynchronized_independent,1.0,"{""P1"":154,""P2"":172,""P3"":828}","{""P1"":0.154,""P2"":0.172,""P3"":0.828}","{""H_ALERT"":0,""H_FULL"":90,""H_NONE"":180,""H_SUMMARY"":0,""L_ALERT"":0,""L_NONE"":0,""L_SUMMARY"":0,""M_ALERT"":0,""M_NONE"":0,""M_SUMMARY"":0}",0.3333333333333333,11796480,131028,0.0,90,0,1172,0,0
PASS,2026090905,low,synchronized_independent,1.0,"{""P1"":0,""P2"":0,""P3"":0}","{""P1"":0.0,""P2"":0.0,""P3"":0.0}","{""H_ALERT"":0,""H_FULL"":66,""H_NONE"":138,""H_SUMMARY"":0,""L_ALERT"":0,""L_NONE"":0,""L_SUMMARY"":0,""M_ALERT"":0,""M_NONE"":0,""M_SUMMARY"":66}",0.24444444444444444,9191424,131029,0.0,66,0,1000,0,0
PASS,2026090905,low,central_coordinated,1.0,"{""P1"":0,""P2"":0,""P3"":0}","{""P1"":0.0,""P2"":0.0,""P3"":0.0}","{""H_ALERT"":0,""H_FULL"":0,""H_NONE"":0,""H_SUMMARY"":270,""L_ALERT"":0,""L_NONE"":0,""L_SUMMARY"":0,""M_ALERT"":0,""M_NONE"":0,""M_SUMMARY"":0}",0.0,4423680,16341,,0,0,374,0,0
PASS,2026090905,low,shielded_coordinated,1.0,"{""P1"":0,""P2"":0,""P3"":0}","{""P1"":0.0,""P2"":0.0,""P3"":0.0}","{""H_ALERT"":0,""H_FULL"":0,""H_NONE"":0,""H_SUMMARY"":270,""L_ALERT"":0,""L_NONE"":0,""L_SUMMARY"":0,""M_ALERT"":0,""M_NONE"":0,""M_SUMMARY"":0}",0.0,4423680,16341,,0,0,374,0,0
PASS,2026090905,mid,desynchronized_independent,1.0,"{""P1"":154,""P2"":172,""P3"":828}","{""P1"":0.154,""P2"":0.172,""P3"":0.828}","{""H_ALERT"":0,""H_FULL"":180,""H_NONE"":90,""H_SUMMARY"":0,""L_ALERT"":0,""L_NONE"":0,""L_SUMMARY"":0,""M_ALERT"":0,""M_NONE"":0,""M_SUMMARY"":0}",0.6666666666666666,23592960,130985,0.5055555555555555,180,91,672,0,0
PASS,2026090905,mid,synchronized_independent,1.0,"{""P1"":0,""P2"":0,""P3"":0}","{""P1"":0.0,""P2"":0.0,""P3"":0.0}","{""H_ALERT"":0,""H_FULL"":135,""H_NONE"":135,""H_SUMMARY"":0,""L_ALERT"":0,""L_NONE"":0,""L_SUMMARY"":0,""M_ALERT"":0,""M_NONE"":0,""M_SUMMARY"":0}",0.5,17694720,130985,0.0,135,0,1500,0,0
PASS,2026090905,mid,central_coordinated,1.0,"{""P1"":0,""P2"":0,""P3"":0}","{""P1"":0.0,""P2"":0.0,""P3"":0.0}","{""H_ALERT"":0,""H_FULL"":90,""H_NONE"":0,""H_SUMMARY"":180,""L_ALERT"":0,""L_NONE"":0,""L_SUMMARY"":0,""M_ALERT"":0,""M_NONE"":0,""M_SUMMARY"":0}",0.3333333333333333,14745600,130985,1.0,90,90,624,0,0
PASS,2026090905,mid,shielded_coordinated,1.0,"{""P1"":0,""P2"":0,""P3"":0}","{""P1"":0.0,""P2"":0.0,""P3"":0.0}","{""H_ALERT"":0,""H_FULL"":90,""H_NONE"":0,""H_SUMMARY"":180,""L_ALERT"":0,""L_NONE"":0,""L_SUMMARY"":0,""M_ALERT"":0,""M_NONE"":0,""M_SUMMARY"":0}",0.3333333333333333,14745600,130985,1.0,90,90,624,0,0
PASS,2026090905,high,desynchronized_independent,1.0,"{""P1"":154,""P2"":172,""P3"":828}","{""P1"":0.154,""P2"":0.172,""P3"":0.828}","{""H_ALERT"":0,""H_FULL"":270,""H_NONE"":0,""H_SUMMARY"":0,""L_ALERT"":0,""L_NONE"":0,""L_SUMMARY"":0,""M_ALERT"":0,""M_NONE"":0,""M_SUMMARY"":0}",1.0,35389440,130876,1.0,270,270,171,0,0
PASS,2026090905,high,synchronized_independent,1.0,"{""P1"":0,""P2"":0,""P3"":0}","{""P1"":0.0,""P2"":0.0,""P3"":0.0}","{""H_ALERT"":0,""H_FULL"":270,""H_NONE"":0,""H_SUMMARY"":0,""L_ALERT"":0,""L_NONE"":0,""L_SUMMARY"":0,""M_ALERT"":0,""M_NONE"":0,""M_SUMMARY"":0}",1.0,35389440,130941,1.0,270,270,999,0,0
