capacity,method,endpoint,n_planned,n_observed,n_missing_or_null,mean,sd,min,max
low,C,core_return_coverage,12,12,0,1.0,0.0,1.0,1.0
low,D,core_return_coverage,12,12,0,0.24444444444444444,0.0,0.24444444444444444,0.24444444444444444
low,E,core_return_coverage,12,12,0,0.0,0.0,0.0,0.0
low,F,core_return_coverage,12,12,0,0.0,0.0,0.0,0.0
mid,A,core_return_coverage,12,12,0,0.0,0.0,0.0,0.0
mid,B,core_return_coverage,12,12,0,0.0,0.0,0.0,0.0
mid,C,core_return_coverage,12,12,0,1.0,0.0,1.0,1.0
mid,D,core_return_coverage,12,12,0,0.5,0.0,0.5,0.5
mid,E,core_return_coverage,12,12,0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333
mid,F,core_return_coverage,12,12,0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333
high,A,evidence_coverage,12,0,12,,,,
high,B,evidence_coverage,12,12,0,1.0,0.0,1.0,1.0
high,C,evidence_coverage,12,12,0,1.0,0.0,1.0,1.0
high,D,evidence_coverage,12,12,0,1.0,0.0,1.0,1.0
high,E,evidence_coverage,12,12,0,1.0,0.0,1.0,1.0
high,F,evidence_coverage,12,12,0,1.0,0.0,1.0,1.0
low,A,evidence_coverage,12,0,12,,,,
low,B,evidence_coverage,12,12,0,1.0,0.0,1.0,1.0
low,C,evidence_coverage,12,12,0,1.0,0.0,1.0,1.0
low,D,evidence_coverage,12,12,0,1.0,0.0,1.0,1.0
low,E,evidence_coverage,12,12,0,1.0,0.0,1.0,1.0
low,F,evidence_coverage,12,12,0,1.0,0.0,1.0,1.0
mid,A,evidence_coverage,12,0,12,,,,
mid,B,evidence_coverage,12,12,0,1.0,0.0,1.0,1.0
mid,C,evidence_coverage,12,12,0,1.0,0.0,1.0,1.0
mid,D,evidence_coverage,12,12,0,1.0,0.0,1.0,1.0
mid,E,evidence_coverage,12,12,0,1.0,0.0,1.0,1.0
mid,F,evidence_coverage,12,12,0,1.0,0.0,1.0,1.0
high,A,local_return,12,12,0,1.0,0.0,1.0,1.0
high,B,local_return,12,12,0,1.0,0.0,1.0,1.0
high,C,local_return,12,0,12,,,,
high,D,local_return,12,0,12,,,,
high,E,local_return,12,0,12,,,,
high,F,local_return,12,0,12,,,,
low,A,local_return,12,12,0,1.0,0.0,1.0,1.0
low,B,local_return,12,12,0,1.0,0.0,1.0,1.0
low,C,local_return,12,0,12,,,,
low,D,local_return,12,12,0,1.0,0.0,1.0,1.0
low,E,local_return,12,12,0,1.0,0.0,1.0,1.0
low,F,local_return,12,12,0,1.0,0.0,1.0,1.0
mid,A,local_return,12,12,0,1.0,0.0,1.0,1.0
mid,B,local_return,12,12,0,1.0,0.0,1.0,1.0
mid,C,local_return,12,0,12,,,,
mid,D,local_return,12,12,0,1.0,0.0,1.0,1.0
mid,E,local_return,12,12,0,1.0,0.0,1.0,1.0
mid,F,local_return,12,12,0,1.0,0.0,1.0,1.0
high,A,on_time_correct_core_coverage,12,12,0,0.0,0.0,0.0,0.0
high,B,on_time_correct_core_coverage,12,12,0,0.0,0.0,0.0,0.0
high,C,on_time_correct_core_coverage,12,12,0,0.9635802469135802,0.014198750740546759,0.9444444444444444,0.9962962962962963
high,D,on_time_correct_core_coverage,12,12,0,0.9592592592592593,0.013767709293104951,0.9407407407407408,0.9851851851851852
high,E,on_time_correct_core_coverage,12,12,0,0.9697530864197531,0.015051421470202862,0.9444444444444444,0.9962962962962963
high,F,on_time_correct_core_coverage,12,12,0,0.9651234567901235,0.009535715750822918,0.9444444444444444,0.9814814814814815
low,A,on_time_correct_core_coverage,12,12,0,0.0,0.0,0.0,0.0
low,B,on_time_correct_core_coverage,12,12,0,0.0,0.0,0.0,0.0
low,C,on_time_correct_core_coverage,12,12,0,0.0,0.0,0.0,0.0
low,D,on_time_correct_core_coverage,12,12,0,0.0,0.0,0.0,0.0
low,E,on_time_correct_core_coverage,12,12,0,0.0,0.0,0.0,0.0
low,F,on_time_correct_core_coverage,12,12,0,0.0,0.0,0.0,0.0
mid,A,on_time_correct_core_coverage,12,12,0,0.0,0.0,0.0,0.0
mid,B,on_time_correct_core_coverage,12,12,0,0.0,0.0,0.0,0.0
mid,C,on_time_correct_core_coverage,12,12,0,0.0,0.0,0.0,0.0
mid,D,on_time_correct_core_coverage,12,12,0,0.0,0.0,0.0,0.0
mid,E,on_time_correct_core_coverage,12,12,0,0.2938271604938272,0.017179417740360883,0.25555555555555554,0.31851851851851853
mid,F,on_time_correct_core_coverage,12,12,0,0.2978395061728395,0.018582940693869142,0.26666666666666666,0.32222222222222224
