capacity,sessions,measured_events,selected_full_events,on_time_full_core_results,mean_timely_full_generated_fraction,mean_conditional_post_release_on_time,mean_full_result_return_fraction,mean_nominal_timely_full_generated_fraction,frontier_fraction,mean_eta_attain
low,12,3240,1080,990,0.3055555555555555,0.9166666666666666,1.0,0.1111111111111111,0.3333333333333333,0.9166666666666666
mid,12,3240,2160,2050,0.6327160493827161,0.9490740740740741,1.0,0.2222222222222222,0.6666666666666666,0.9490740740740741
high,12,3240,3240,3130,0.9660493827160493,0.9660493827160493,1.0,0.33302469135802465,1.0,0.9660493827160493
