session_id,low_run_id,low_h_full,low_measured_payload_bytes,low_on_time_full_core_results,low_timely_full_generated_fraction,low_conditional_post_release_on_time,low_full_result_return_fraction,low_nominal_timely_full_generated_fraction,low_eta_attain,mid_run_id,mid_h_full,mid_measured_payload_bytes,mid_on_time_full_core_results,mid_timely_full_generated_fraction,mid_conditional_post_release_on_time,mid_full_result_return_fraction,mid_nominal_timely_full_generated_fraction,mid_eta_attain,high_run_id,high_h_full,high_measured_payload_bytes,high_on_time_full_core_results,high_timely_full_generated_fraction,high_conditional_post_release_on_time,high_full_result_return_fraction,high_nominal_timely_full_generated_fraction,high_eta_attain
F12_S01,F12_S01_G_low_a02,90,11796480,81,0.3,0.9,1.0,0.1111111111111111,0.9,F12_S01_G_mid_a01,180,23592960,169,0.6259259259259259,0.9388888888888889,1.0,0.2222222222222222,0.9388888888888889,F12_S01_G_high_a01,270,35389440,262,0.9703703703703703,0.9703703703703703,1.0,0.3333333333333333,0.9703703703703703
F12_S02,F12_S02_G_low_a02,90,11796480,81,0.3,0.9,1.0,0.1111111111111111,0.9,F12_S02_G_mid_a01,180,23592960,171,0.6333333333333333,0.95,1.0,0.2222222222222222,0.95,F12_S02_G_high_a02,270,35389440,257,0.9518518518518518,0.9518518518518518,1.0,0.3333333333333333,0.9518518518518518
F12_S03,F12_S03_G_low_a01,90,11796480,83,0.3074074074074074,0.9222222222222223,1.0,0.1111111111111111,0.9222222222222223,F12_S03_G_mid_a02,180,23592960,165,0.6111111111111112,0.9166666666666666,1.0,0.2222222222222222,0.9166666666666667,F12_S03_G_high_a01,270,35389440,256,0.9481481481481482,0.9481481481481482,1.0,0.3296296296296296,0.9481481481481482
F12_S04,F12_S04_G_low_a02,90,11796480,83,0.3074074074074074,0.9222222222222223,1.0,0.1111111111111111,0.9222222222222223,F12_S04_G_mid_a01,180,23592960,170,0.6296296296296297,0.9444444444444444,1.0,0.2222222222222222,0.9444444444444445,F12_S04_G_high_a02,270,35389440,262,0.9703703703703703,0.9703703703703703,1.0,0.3333333333333333,0.9703703703703703
F12_S05,F12_S05_G_low_a01,90,11796480,84,0.3111111111111111,0.9333333333333333,1.0,0.1111111111111111,0.9333333333333333,F12_S05_G_mid_a02,180,23592960,169,0.6259259259259259,0.9388888888888889,1.0,0.2222222222222222,0.9388888888888889,F12_S05_G_high_a01,270,35389440,261,0.9666666666666667,0.9666666666666667,1.0,0.3333333333333333,0.9666666666666667
F12_S06,F12_S06_G_low_a02,90,11796480,79,0.29259259259259257,0.8777777777777778,1.0,0.1111111111111111,0.8777777777777778,F12_S06_G_mid_a01,180,23592960,171,0.6333333333333333,0.95,1.0,0.2222222222222222,0.95,F12_S06_G_high_a02,270,35389440,266,0.9851851851851852,0.9851851851851852,1.0,0.3333333333333333,0.9851851851851852
F12_S07,F12_S07_G_low_a01,90,11796480,82,0.3037037037037037,0.9111111111111111,1.0,0.1111111111111111,0.9111111111111111,F12_S07_G_mid_a02,180,23592960,172,0.6370370370370371,0.9555555555555556,1.0,0.2222222222222222,0.9555555555555556,F12_S07_G_high_a01,270,35389440,261,0.9666666666666667,0.9666666666666667,1.0,0.3333333333333333,0.9666666666666667
F12_S08,F12_S08_G_low_a02,90,11796480,83,0.3074074074074074,0.9222222222222223,1.0,0.1111111111111111,0.9222222222222223,F12_S08_G_mid_a02,180,23592960,173,0.6407407407407407,0.9611111111111111,1.0,0.2222222222222222,0.9611111111111111,F12_S08_G_high_a02,270,35389440,257,0.9518518518518518,0.9518518518518518,1.0,0.3333333333333333,0.9518518518518518
F12_S09,F12_S09_G_low_a01,90,11796480,84,0.3111111111111111,0.9333333333333333,1.0,0.1111111111111111,0.9333333333333333,F12_S09_G_mid_a02,180,23592960,172,0.6370370370370371,0.9555555555555556,1.0,0.2222222222222222,0.9555555555555556,F12_S09_G_high_a01,270,35389440,265,0.9814814814814815,0.9814814814814815,1.0,0.3333333333333333,0.9814814814814815
F12_S10,F12_S10_G_low_a02,90,11796480,84,0.3111111111111111,0.9333333333333333,1.0,0.1111111111111111,0.9333333333333333,F12_S10_G_mid_a01,180,23592960,176,0.6518518518518519,0.9777777777777777,1.0,0.2222222222222222,0.9777777777777779,F12_S10_G_high_a02,270,35389440,264,0.9777777777777777,0.9777777777777777,1.0,0.3333333333333333,0.9777777777777777
F12_S11,F12_S11_G_low_a01,90,11796480,86,0.31851851851851853,0.9555555555555556,1.0,0.1111111111111111,0.9555555555555556,F12_S11_G_mid_a02,180,23592960,173,0.6407407407407407,0.9611111111111111,1.0,0.2222222222222222,0.9611111111111111,F12_S11_G_high_a01,270,35389440,261,0.9666666666666667,0.9666666666666667,1.0,0.3333333333333333,0.9666666666666667
F12_S12,F12_S12_G_low_a02,90,11796480,80,0.2962962962962963,0.8888888888888888,1.0,0.1111111111111111,0.8888888888888888,F12_S12_G_mid_a01,180,23592960,169,0.6259259259259259,0.9388888888888889,1.0,0.2222222222222222,0.9388888888888889,F12_S12_G_high_a02,270,35389440,258,0.9555555555555556,0.9555555555555556,1.0,0.3333333333333333,0.9555555555555556
