status,session_id,attempt,seed,arm,method,capacity,device,ledger_path,ledger_sha256,measured_events,core_required_events,post_release_results_observed,post_release_on_time_count,post_release_on_time_coverage,nominal_results_observed,nominal_on_time_count,nominal_on_time_coverage,post_release_latency_ms_p50,post_release_latency_ms_p95,post_release_latency_ms_p99,nominal_latency_ms_p50,nominal_latency_ms_p95,nominal_latency_ms_p99,release_lateness_ms_p50,release_lateness_ms_p95,release_lateness_ms_p99
PASS,F12_S01,a01,3668046706,B,fixed_summary,high,P2,<AUDIT_ROOT>/extracted_sessions/F12_S01/attempt_a01/B_high/raw/probe/P2/F12_S01_B_high_a01/event_ledger.jsonl,9133d460b6987c1a2749176ec23b22e37c39fa79976c0c83e126a0245672e4a1,90,0,0,0,,0,0,,,,,,,,745.4642524999999,802.8846916499999,806.7957430800001
PASS,F12_S01,a01,3668046706,B,fixed_summary,high,P3,<AUDIT_ROOT>/extracted_sessions/F12_S01/attempt_a01/B_high/raw/probe/P3/F12_S01_B_high_a01/event_ledger.jsonl,be793f3b4c56a540b04cd5835a54a79dfa5b8e9de235fe5e5598ae7b8755b657,90,0,0,0,,0,0,,,,,,,,88.3070955,159.6289477,166.31923969000002
PASS,F12_S01,a01,3668046706,C,fixed_full,low,P1,<AUDIT_ROOT>/extracted_sessions/F12_S01/attempt_a01/C_low/raw/probe/P1/F12_S01_C_low_a01/event_ledger.jsonl,58662fec6c13e811dc98ceda8b930cba27463f5ecd44990d6991cd504d3e6bc1,90,90,90,0,0.0,90,0,0.0,103113.62515450001,183320.31767924997,190460.33909229,105001.374453,185301.31950505,192443.60353285,1887.7492985,1981.0018258,1983.26444056
PASS,F12_S01,a01,3668046706,C,fixed_full,low,P2,<AUDIT_ROOT>/extracted_sessions/F12_S01/attempt_a01/C_low/raw/probe/P2/F12_S01_C_low_a01/event_ledger.jsonl,ec18ecca231cfc09ddf9490d68d47a4de29e80b6cb0c2534b4c1b27a5b51a298,90,90,90,0,0.0,90,0,0.0,103048.4221295,183263.1806148,190405.79363631998,103784.9187695,184091.1252109,191236.17565514,736.4966400000001,827.9445961,830.38201882
PASS,F12_S01,a01,3668046706,C,fixed_full,low,P3,<AUDIT_ROOT>/extracted_sessions/F12_S01/attempt_a01/C_low/raw/probe/P3/F12_S01_C_low_a01/event_ledger.jsonl,2660c3e4989af6bf57d5990d7f0100d1c48456657168ab08824695f46087ef2f,90,90,90,0,0.0,90,0,0.0,102280.882712,182536.7287431,189660.72013862,102360.192403,182676.27634004998,189806.02176099,79.30969099999999,139.54759694999998,145.30162237
PASS,F12_S01,a01,3668046706,C,fixed_full,mid,P1,<AUDIT_ROOT>/extracted_sessions/F12_S01/attempt_a01/C_mid/raw/probe/P1/F12_S01_C_mid_a01/event_ledger.jsonl,0ea77f7659db7442f9c2c143efed5c2400fc751dcb960f2a176c6a6194191d54,90,90,90,0,0.0,90,0,0.0,26967.723000500002,46425.84340735,48426.96208089,28826.833110500003,48908.814017,50913.68527294,1859.11011,2483.07332735,2486.72319205
PASS,F12_S01,a01,3668046706,C,fixed_full,mid,P2,<AUDIT_ROOT>/extracted_sessions/F12_S01/attempt_a01/C_mid/raw/probe/P2/F12_S01_C_mid_a01/event_ledger.jsonl,1bdb67d23b585d0c0b82dc985303e8004710d10f05929e0d6a725404bbd66c64,90,90,90,0,0.0,90,0,0.0,26953.104515,46408.07256605,48380.20129006,27639.819656,47749.81614255,49727.48054067,686.715141,1341.7672516,1346.60303039
PASS,F12_S01,a01,3668046706,C,fixed_full,mid,P3,<AUDIT_ROOT>/extracted_sessions/F12_S01/attempt_a01/C_mid/raw/probe/P3/F12_S01_C_mid_a01/event_ledger.jsonl,03b4504f63889597df315e764fc7bc053fbba197ad184a141663f3917283f06f,90,90,90,0,0.0,90,0,0.0,26254.693733499997,46206.5114897,48207.354619369995,26333.846621,46348.44193145,48356.89327043,79.1528875,141.93044175,148.47320693999998
PASS,F12_S01,a01,3668046706,C,fixed_full,high,P1,<AUDIT_ROOT>/extracted_sessions/F12_S01/attempt_a01/C_high/raw/probe/P1/F12_S01_C_high_a01/event_ledger.jsonl,9f6a09335b9f714d699a20a3730bf73895ae4ad7929b78daa4ce9eb9695a7016,90,90,90,87,0.9666666666666667,90,0,0.0,947.0429065000001,987.39564255,1036.24199997,2969.7082505,3035.01556945,3087.54823245,2024.258006,2101.8443298,2105.18585967
PASS,F12_S01,a01,3668046706,C,fixed_full,high,P2,<AUDIT_ROOT>/extracted_sessions/F12_S01/attempt_a01/C_high/raw/probe/P2/F12_S01_C_high_a01/event_ledger.jsonl,90d1f93a2cd7a92d1d0ab690c612c6ceb03a1108bec92c94ccabd0ec9f10e432,90,90,90,83,0.9222222222222223,90,0,0.0,909.6948904999999,1006.3847087500001,1031.61404477,1757.3185155,1853.63693355,1888.2913029099998,830.479914,948.7692833,952.31784712
PASS,F12_S01,a01,3668046706,C,fixed_full,high,P3,<AUDIT_ROOT>/extracted_sessions/F12_S01/attempt_a01/C_high/raw/probe/P3/F12_S01_C_high_a01/event_ledger.jsonl,92da05736feed7ec7c761ff81dc8f48beefc93e53243fb29352ada6a9a775eaf,90,90,90,90,1.0,90,90,1.0,237.4897035,337.82213799999994,461.32277207999994,333.1671745,454.83996764999995,565.6908491299998,78.56628549999999,141.23188535,145.5751344
PASS,F12_S01,a01,3668046706,D,independent_dpp,low,P1,<AUDIT_ROOT>/extracted_sessions/F12_S01/attempt_a01/D_low/raw/probe/P1/F12_S01_D_low_a01/event_ledger.jsonl,04e6bb70782ad4b7737fbb94de07c73e68c78d6d37cb51849db615ec7fce36f2,90,22,22,0,0.0,22,0,0.0,3955.2749545,3967.51101445,4105.26219322,5815.907699,5979.61706735,6017.52446657,1851.513066,2183.80091515,2301.20777842
PASS,F12_S01,a01,3668046706,D,independent_dpp,low,P2,<AUDIT_ROOT>/extracted_sessions/F12_S01/attempt_a01/D_low/raw/probe/P2/F12_S01_D_low_a01/event_ledger.jsonl,8dd91413060df73c637be231d6582a8a3aad22e6d9d243e08e12c1963fa2938c,90,22,22,0,0.0,22,0,0.0,3911.3104439999997,3942.743186,4034.34889484,4576.842565000001,4730.4754947,4768.49657155,661.828218,792.39768025,1053.90345817
PASS,F12_S01,a01,3668046706,D,independent_dpp,low,P3,<AUDIT_ROOT>/extracted_sessions/F12_S01/attempt_a01/D_low/raw/probe/P3/F12_S01_D_low_a01/event_ledger.jsonl,b23c224d5a3b896936f3686b7f902defcbe8f4e585ebcafdc879c00886811bd2,90,22,22,0,0.0,22,0,0.0,3122.4071519999998,3293.6691601499997,3369.6084233499996,3207.3763449999997,3405.8558442,3509.84154798,82.30739550000001,152.11041075,156.34236811
PASS,F12_S01,a01,3668046706,D,independent_dpp,mid,P1,<AUDIT_ROOT>/extracted_sessions/F12_S01/attempt_a01/D_mid/raw/probe/P1/F12_S01_D_mid_a01/event_ledger.jsonl,d9eb6609b6d92b94a43df0f5d88db91764f26b32a2167f8e12b6889bde742d93,90,45,45,0,0.0,45,0,0.0,1903.86741,1971.6523926,1998.4820618,3922.02149,4023.857096,4060.2051156,1998.013733,2108.7586146500003,2111.03766544
PASS,F12_S01,a01,3668046706,D,independent_dpp,mid,P2,<AUDIT_ROOT>/extracted_sessions/F12_S01/attempt_a01/D_mid/raw/probe/P2/F12_S01_D_mid_a01/event_ledger.jsonl,0e9e994fb6c7d5fce50bb3c7942ebcbd72c58880597c8446b281aa1d589da21d,90,45,45,0,0.0,45,0,0.0,1888.868795,1960.4277147999999,1998.5080580400002,2646.042757,2742.1628628,2785.55649408,754.878242,822.019906,824.7824058799999
PASS,F12_S01,a01,3668046706,D,independent_dpp,mid,P3,<AUDIT_ROOT>/extracted_sessions/F12_S01/attempt_a01/D_mid/raw/probe/P3/F12_S01_D_mid_a01/event_ledger.jsonl,d5f516a1a941a73d15b0c78b30ea93ae7306f2df55e58a830d929c7bd358078f,90,45,45,0,0.0,45,0,0.0,1134.059896,1214.9416454,1432.6231774400003,1222.634583,1336.2892513999998,1566.6145613600002,81.4447405,146.9100289,152.39381967
PASS,F12_S01,a01,3668046706,D,independent_dpp,high,P1,<AUDIT_ROOT>/extracted_sessions/F12_S01/attempt_a01/D_high/raw/probe/P1/F12_S01_D_high_a01/event_ledger.jsonl,5eea09fb710c7062ba5e21b869db441eb3bae80ed82ecfedc667c3364b1d2f5c,90,90,90,85,0.9444444444444444,90,0,0.0,942.780039,1000.44903715,1016.82726688,2887.3122009999997,2977.3221768000003,2998.00681554,1967.930868,2006.6142262,2009.58991886
PASS,F12_S01,a01,3668046706,D,independent_dpp,high,P2,<AUDIT_ROOT>/extracted_sessions/F12_S01/attempt_a01/D_high/raw/probe/P2/F12_S01_D_high_a01/event_ledger.jsonl,4dc0ddc9a2934810fb6c11ffcec68acf96971e9d4bc5f3fc43ee9ffa8da3d8f7,90,90,90,86,0.9555555555555556,90,0,0.0,897.1290114999999,999.2825548000001,1017.81569299,1655.736535,1764.17476655,1789.02580614,797.6077805,836.0904571,841.80488704
PASS,F12_S01,a01,3668046706,D,independent_dpp,high,P3,<AUDIT_ROOT>/extracted_sessions/F12_S01/attempt_a01/D_high/raw/probe/P3/F12_S01_D_high_a01/event_ledger.jsonl,19c6e3a0b2dc966c523fd5b05c60f2e44dc4a1578b5b1e22bf42ffce4f613d5b,90,90,90,90,1.0,90,90,1.0,236.037178,350.18605915,373.74402696,337.739184,452.47333924999987,496.58674146000004,78.379505,136.0634495,140.84370651
PASS,F12_S01,a01,3668046706,E,central_dpp,low,P1,<AUDIT_ROOT>/extracted_sessions/F12_S01/attempt_a01/E_low/raw/probe/P1/F12_S01_E_low_a01/event_ledger.jsonl,ad7eb3444c6e8e58af998aa9f67f2c8c0715c1b226d2f00c7280dae1eea09859,90,0,0,0,,0,0,,,,,,,,2049.690286,2151.4437460999998,2153.45347275
PASS,F12_S01,a01,3668046706,E,central_dpp,low,P2,<AUDIT_ROOT>/extracted_sessions/F12_S01/attempt_a01/E_low/raw/probe/P2/F12_S01_E_low_a01/event_ledger.jsonl,a5a877160d56e6d6c0f53f24ae632648efd99f065734342bf9043fc98e89d020,90,0,0,0,,0,0,,,,,,,,858.3682705,942.6314039,947.0763656400001
PASS,F12_S01,a01,3668046706,E,central_dpp,low,P3,<AUDIT_ROOT>/extracted_sessions/F12_S01/attempt_a01/E_low/raw/probe/P3/F12_S01_E_low_a01/event_ledger.jsonl,880010e8dee4cc1721d6a9a8abed65c111823900e402ba9c7f853a00f2766022,90,0,0,0,,0,0,,,,,,,,83.1530665,147.9748439,154.02158678
PASS,F12_S01,a01,3668046706,E,central_dpp,mid,P1,<AUDIT_ROOT>/extracted_sessions/F12_S01/attempt_a01/E_mid/raw/probe/P1/F12_S01_E_mid_a01/event_ledger.jsonl,ed8cc635e3125fe4ae8f5d93af547e23d769cc6d53afa3768070986ec7fb99bc,90,30,30,24,0.8,30,0,0.0,969.5095245,1054.10367425,1062.20168153,2887.0071024999997,2967.6095201,3036.03782375,1910.3678235000002,1992.88794215,1995.3906449899998
PASS,F12_S01,a01,3668046706,E,central_dpp,mid,P2,<AUDIT_ROOT>/extracted_sessions/F12_S01/attempt_a01/E_mid/raw/probe/P2/F12_S01_E_mid_a01/event_ledger.jsonl,06a82773d1250f8a3f507e32334f6b9e23a4ff2d3b52d5c84b9b0223e6d5d9f5,90,30,30,24,0.8,30,0,0.0,951.5479245,1016.7330552999999,1027.14287205,1702.528198,1797.51355715,1817.3845281800002,732.3685665,809.6359317,812.98087879
PASS,F12_S01,a01,3668046706,E,central_dpp,mid,P3,<AUDIT_ROOT>/extracted_sessions/F12_S01/attempt_a01/E_mid/raw/probe/P3/F12_S01_E_mid_a01/event_ledger.jsonl,b04fb21fe667678a33a8dfa54c99e90568c9581f8a5b3c40e0e208299a07e3ee,90,30,30,30,1.0,30,30,1.0,263.02816,324.1151408,332.37868614,343.6924015,419.72390729999995,450.24554475,83.106469,152.48411134999998,159.30512562
PASS,F12_S01,a01,3668046706,E,central_dpp,high,P1,<AUDIT_ROOT>/extracted_sessions/F12_S01/attempt_a01/E_high/raw/probe/P1/F12_S01_E_high_a01/event_ledger.jsonl,94373e457eb390576381641b625b9bc10317171a3dfa236cd76804daa40bfe11,90,90,90,90,1.0,90,0,0.0,842.6813010000001,879.9412294,904.73286768,2914.4043745,2982.2158431000003,3004.68894722,2070.5117520000003,2105.4181229,2109.09854456
PASS,F12_S01,a01,3668046706,E,central_dpp,high,P2,<AUDIT_ROOT>/extracted_sessions/F12_S01/attempt_a01/E_high/raw/probe/P2/F12_S01_E_high_a01/event_ledger.jsonl,350238dd995f2e6ba8ddf97cafbe6994813d5a989e63717acfc20513adb54b76,90,90,90,89,0.9888888888888889,90,0,0.0,842.4730435,918.58319785,959.9889387999999,1757.1251425,1843.27393725,1894.41134253,907.5329545,949.53494045,953.21351437
